features,f1,auc,set
fanin,0.0,0.5,vq
fanout,0.0,0.5,loc|vq
wmc,0.0041797283176593526,0.5010471204188481,loc|vq|lq
loc,0.010416666666666668,0.5026178010471204,loc|vq|lq|cq
rq,0.012448132780082987,0.5031155916028887,wmc|loc|vq|lq|cq
vq,0.006263048016701462,0.5015706806282723,wmc|loc|vq|pq|lq|cq
pq,0.052472250252270425,0.5135266665995067,fanout|wmc|loc|vq|pq|lq|cq
lq,0.06937561942517344,0.5181613995233558,fanout|wmc|loc|rq|vq|pq|lq|cq
cq,0.07149950347567031,0.5187107293864358,fanin|fanout|wmc|loc|rq|vq|pq|lq|cq
icq,0.05999999999999999,0.5155779580144433,fanin|fanout|wmc|loc|rq|vq|pq|lq|cq|icq
