features,f1,auc,set
1,0.34013605442176875,0.6100917617387916,rfc
2,0.6666666666666667,0.8311435850670015,rfc|wmc
3,0.663917525773196,0.8517980944082436,fanout|rfc|wmc
4,0.5450121654501217,0.7443173208061827,fanout|rfc|nom|wmc
5,0.7336244541484715,0.8699992423094408,fanout|lcom*|rfc|nom|wmc
6,0.7053571428571429,0.8476778137380122,fanout|lcom*|loc|rfc|nom|wmc
7,0.7161572052401747,0.8607675946571992,fanout|lcom*|loc|rfc|nof|nom|wmc
8,0.7325102880658436,0.8909568278743533,fanin|fanout|lcom*|loc|rfc|nof|nom|wmc
9,0.7351129363449692,0.8931889707314961,fanin|fanout|lcom*|loc|rfc|icq|nof|nom|wmc
10,0.7351129363449692,0.8931889707314961,dit|fanin|fanout|lcom*|loc|rfc|icq|nof|nom|wmc
11,0.7351129363449692,0.8931889707314961,dit|fanin|fanout|lcc|lcom*|loc|rfc|icq|nof|nom|wmc
12,0.7366255144032922,0.8932647397874137,dit|fanin|fanout|lcc|lcom*|loc|noc|rfc|icq|nof|nom|wmc
