features,f1,auc,set
1,0.34013605442176875,0.6100917617387916,rfc
2,0.69921875,0.891294744333557,rfc|wmc
3,0.69921875,0.891294744333557,fanout|rfc|wmc
4,0.6976744186046512,0.861938970731496,fanout|rfc|nom|wmc
5,0.7224669603524229,0.8610706708808694,fanout|lcom*|rfc|nom|wmc
6,0.6909090909090909,0.8344364947069902,fanout|lcom*|loc|rfc|nom|wmc
7,0.6923076923076923,0.8553940802719027,fanout|lcom*|loc|rfc|nof|nom|wmc
8,0.7366255144032922,0.8932647397874137,fanin|fanout|lcom*|loc|rfc|nof|nom|wmc
9,0.7438016528925621,0.8957241898123093,fanin|fanout|lcom*|loc|rfc|icq|nof|nom|wmc
10,0.748971193415638,0.900188475526595,dit|fanin|fanout|lcom*|loc|rfc|icq|nof|nom|wmc
11,0.7453416149068323,0.8957999588682269,dit|fanin|fanout|lcc|lcom*|loc|rfc|icq|nof|nom|wmc
12,0.7412008281573499,0.8934920469551663,dit|fanin|fanout|lcc|lcom*|loc|noc|rfc|icq|nof|nom|wmc
