features,f1,auc,set
1,0.641025641025641,0.7612856529750116,rfc
2,0.6404199475065616,0.7550604153879232,fanout|rfc
3,0.6475195822454308,0.7592445158063333,dit|fanout|rfc
4,0.6351706036745408,0.7529598796719638,dit|fanout|rfc|wmc
5,0.6351706036745408,0.7529598796719638,dit|fanout|rfc|nom|wmc
6,0.6387434554973821,0.7550519298811688,dit|fanout|lcom*|rfc|nom|wmc
7,0.6351706036745408,0.7529598796719638,dit|fanin|fanout|lcom*|rfc|nom|wmc
8,0.6387434554973821,0.7550519298811688,dit|fanin|fanout|lcom*|loc|rfc|nom|wmc
9,0.6387434554973821,0.7550519298811688,dit|fanin|fanout|lcc|lcom*|loc|rfc|nom|wmc
10,0.6387434554973821,0.7550519298811688,dit|fanin|fanout|lcc|lcom*|loc|rfc|icq|nom|wmc
