features,f1,auc,set
1,0.641025641025641,0.7612856529750116,rfc
2,0.6458333333333333,0.7592360302995789,fanout|rfc
3,0.6493506493506493,0.7613280805087839,dit|fanout|rfc
4,0.6351706036745408,0.7529598796719638,dit|fanout|rfc|wmc
5,0.6351706036745408,0.7529598796719638,dit|fanout|rfc|nom|wmc
6,0.6296296296296297,0.7487842647603082,dit|fanout|lcom*|rfc|nom|wmc
7,0.6296296296296297,0.7487842647603082,dit|fanin|fanout|lcom*|rfc|nom|wmc
8,0.6296296296296297,0.7487842647603082,dit|fanin|fanout|lcom*|loc|rfc|nom|wmc
9,0.6296296296296297,0.7487842647603082,dit|fanin|fanout|lcc|lcom*|loc|rfc|nom|wmc
10,0.6385224274406333,0.7529768506854727,dit|fanin|fanout|lcc|lcom*|loc|rfc|icq|nom|wmc
